width,height,subject_nr,participant_avatar_file,participant_avatar_gender,block_nr,rater_name,rater_file,ratee_type,other_ratee_name,other_ratee_file,liking,trial_nr,positive_left,positive_correct,pos_word,neg_word,correct_word,left_word,right_word,response,choice,chose_positive,accuracy,t_start_experiment,t_start_block,t_start_trial,t_response,likes_on_left,evaluation,t_ask_eval,t_eval_resp,attentional_check1,attentional_check2,avatar_selected_self_file,avatar_selected_other_file
1440,900,PurpleSleep,male2,m,2,Lucy,female10,other,Tom,male14,like,5,1,0,enthusiastic,unenthusiastic,unenthusiastic,enthusiastic,unenthusiastic,41,enthusiastic,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,2,Lucy,female10,other,Tom,male14,like,6,0,1,encouraging,negative,encouraging,negative,encouraging,56,encouraging,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,2,Lucy,female10,other,Tom,male14,like,7,0,1,lively,inactive,lively,inactive,lively,32,inactive,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,2,Lucy,female10,other,Tom,male14,like,8,0,1,patient,impatient,patient,impatient,patient,39,impatient,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,2,Lucy,female10,other,Tom,male14,like,9,1,1,trusting,suspicious,trusting,trusting,suspicious,61,suspicious,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,2,Lucy,female10,other,Tom,male14,like,10,1,1,smart,foolish,smart,smart,foolish,55,foolish,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,2,Lucy,female10,other,Tom,male14,like,11,0,1,peaceful,argumentative,peaceful,argumentative,peaceful,66,peaceful,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,2,Lucy,female10,other,Tom,male14,like,12,0,1,alert,inattentive,alert,inattentive,alert,70,alert,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,2,Lucy,female10,other,Tom,male14,like,13,0,1,imaginative,uninventive,imaginative,uninventive,imaginative,34,uninventive,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,2,Lucy,female10,other,Tom,male14,like,14,1,0,rational,unrealistic,unrealistic,rational,unrealistic,81,unrealistic,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,2,Lucy,female10,other,Tom,male14,like,15,0,1,warm-hearted,uncaring,warm-hearted,uncaring,warm-hearted,91,warm-hearted,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,2,Lucy,female10,other,Tom,male14,like,16,1,1,brave,cowardly,brave,brave,cowardly,38,brave,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,2,Lucy,female10,other,Tom,male14,like,17,1,0,tactful,tactless,tactless,tactful,tactless,63,tactless,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,2,Lucy,female10,other,Tom,male14,like,18,0,1,helpful,selfish,helpful,selfish,helpful,82,helpful,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,2,Lucy,female10,other,Tom,male14,like,19,1,0,pleasant,obnoxious,obnoxious,pleasant,obnoxious,94,obnoxious,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,2,Lucy,female10,other,Tom,male14,like,20,1,1,responsible,reckless,responsible,responsible,reckless,19,responsible,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,0,57,1.75E+12,1.75E+12,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,1,0,0,accurate,sloppy,sloppy,sloppy,accurate,0,sloppy,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,2,1,0,loyal,disloyal,disloyal,loyal,disloyal,0,loyal,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,3,0,0,fair,bossy,bossy,bossy,fair,74,fair,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,4,0,0,outgoing,unsociable,unsociable,unsociable,outgoing,100,outgoing,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,5,1,1,curious,closed-minded,curious,curious,closed-minded,0,curious,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,6,0,0,motivated,aimless,aimless,aimless,motivated,0,aimless,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,7,0,0,logical,irrational,irrational,irrational,logical,0,irrational,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,8,1,1,thoughtful,inconsiderate,thoughtful,thoughtful,inconsiderate,0,thoughtful,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,9,1,0,honest,dishonest,dishonest,honest,dishonest,0,honest,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,10,0,0,sympathetic,mean,mean,mean,sympathetic,0,mean,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,11,0,0,modest,smug,smug,smug,modest,0,smug,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,12,1,1,talented,ordinary,talented,talented,ordinary,0,talented,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,13,1,0,settled,restless,restless,settled,restless,0,settled,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,14,1,0,competent,incompetent,incompetent,competent,incompetent,0,competent,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,15,0,1,witty,dull,witty,dull,witty,0,dull,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,16,1,0,productive,unproductive,unproductive,productive,unproductive,0,productive,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,17,0,0,sensible,immature,immature,immature,sensible,0,immature,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,18,0,0,cooperative,unhelpful,unhelpful,unhelpful,cooperative,0,unhelpful,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,19,1,0,gentle,harsh,harsh,gentle,harsh,0,gentle,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
